timestamp,sector,origin,destination,horizon,days_ahead,travel_date,airline,flight_number,raw_price,base_fare_inr,taxes_fees_udf_inr,total_fare_inr,is_synthetic,capture_method,z_score
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+1,1,2026-09-24,IndiGo,6E-2041,8950.00,6981.00,1969.00,8950.00,False,playwright_shadow_dom,0.42
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+1,1,2026-09-24,Air India,AI-506,9200.00,7176.00,2024.00,9200.00,False,playwright_shadow_dom,0.85
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+1,1,2026-09-24,Vistara,UK-817,9100.00,7098.00,2002.00,9100.00,False,playwright_shadow_dom,0.68
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+1,1,2026-09-24,Akasa Air,QP-1352,8650.00,6747.00,1903.00,8650.00,False,playwright_shadow_dom,-0.09
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+7,7,2026-09-30,IndiGo,6E-2134,6420.00,5007.60,1412.40,6420.00,False,playwright_shadow_dom,-0.12
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+7,7,2026-09-30,Air India,AI-803,6600.00,5148.00,1452.00,6600.00,False,playwright_shadow_dom,0.35
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+7,7,2026-09-30,Vistara,UK-819,6550.00,5109.00,1441.00,6550.00,False,playwright_shadow_dom,0.22
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+15,15,2026-10-08,IndiGo,6E-534,5180.00,4040.40,1139.60,5180.00,False,playwright_shadow_dom,-0.21
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+15,15,2026-10-08,Akasa Air,QP-1401,4990.00,3892.20,1097.80,4990.00,False,playwright_shadow_dom,-0.65
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+30,30,2026-10-23,IndiGo,6E-612,4650.00,3627.00,1023.00,4650.00,False,playwright_shadow_dom,-0.15
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+30,30,2026-10-23,Air India,AI-504,4720.00,3681.60,1038.40,4720.00,False,playwright_shadow_dom,0.18
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+45,45,2026-11-07,IndiGo,6E-722,4340.00,3385.20,954.80,4340.00,False,playwright_shadow_dom,-0.08
2026-09-23T18:45:00Z,DEL-BLR,DEL,BLR,T+45,45,2026-11-07,SpiceJet,SG-135,4290.00,3346.20,943.80,4290.00,False,playwright_shadow_dom,-0.32
2026-09-23T18:45:00Z,BLR-DEL,BLR,DEL,T+1,1,2026-09-24,IndiGo,6E-501,8790.00,6856.20,1933.80,8790.00,False,playwright_shadow_dom,0.15
2026-09-23T18:45:00Z,BLR-DEL,BLR,DEL,T+1,1,2026-09-24,Vistara,UK-810,8990.00,7012.20,1977.80,8990.00,False,playwright_shadow_dom,0.58
2026-09-23T18:45:00Z,BLR-DEL,BLR,DEL,T+7,7,2026-09-30,IndiGo,6E-509,6250.00,4875.00,1375.00,6250.00,False,playwright_shadow_dom,-0.10
2026-09-23T18:45:00Z,BLR-DEL,BLR,DEL,T+7,7,2026-09-30,Air India,AI-509,6380.00,4976.40,1403.60,6380.00,False,playwright_shadow_dom,0.28
2026-09-23T18:45:00Z,BLR-DEL,BLR,DEL,T+15,15,2026-10-08,Akasa Air,QP-1311,5100.00,3978.00,1122.00,5100.00,False,playwright_shadow_dom,-0.12
2026-09-23T18:45:00Z,BLR-DEL,BLR,DEL,T+30,30,2026-10-23,IndiGo,6E-642,4550.00,3549.00,1001.00,4550.00,False,playwright_shadow_dom,-0.05
2026-09-23T18:45:00Z,BLR-DEL,BLR,DEL,T+45,45,2026-11-07,Air India,AI-511,4240.00,3307.20,932.80,4240.00,False,playwright_shadow_dom,-0.14
2026-09-23T18:45:00Z,DEL-BOM,DEL,BOM,T+1,1,2026-09-24,IndiGo,6E-201,7980.00,6224.40,1755.60,7980.00,False,playwright_shadow_dom,0.22
2026-09-23T18:45:00Z,DEL-BOM,DEL,BOM,T+7,7,2026-09-30,Air India,AI-678,5820.00,4539.60,1280.40,5820.00,False,playwright_shadow_dom,0.05
2026-09-23T18:45:00Z,DEL-BOM,DEL,BOM,T+15,15,2026-10-08,Vistara,UK-995,4860.00,3790.80,1069.20,4860.00,False,playwright_shadow_dom,-0.18
2026-09-23T18:45:00Z,DEL-BOM,DEL,BOM,T+30,30,2026-10-23,IndiGo,6E-512,4310.00,3361.80,948.20,4310.00,False,playwright_shadow_dom,-0.02
2026-09-23T18:45:00Z,DEL-BOM,DEL,BOM,T+45,45,2026-11-07,Akasa Air,QP-1120,4110.00,3205.80,904.20,4110.00,False,playwright_shadow_dom,-0.11
